       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.154817e+03   0.116748e-01  -0.125710e-01   0.447573e-03  -0.737554e-06  -0.449457e-03
   0.156861e+03   0.114924e-01  -0.123224e-01   0.376681e-03   0.110463e-04  -0.442353e-03
   0.158909e+03   0.113050e-01  -0.120780e-01   0.311742e-03   0.257214e-04  -0.435538e-03
   0.160959e+03   0.111063e-01  -0.118374e-01   0.265182e-03   0.390243e-04  -0.426877e-03
   0.163015e+03   0.109020e-01  -0.116015e-01   0.238088e-03   0.464697e-04  -0.414886e-03
   0.165074e+03   0.106979e-01  -0.113689e-01   0.229538e-03   0.405841e-04  -0.400899e-03
   0.167136e+03   0.104939e-01  -0.111412e-01   0.229639e-03   0.312485e-04  -0.386470e-03
   0.169201e+03   0.102879e-01  -0.109195e-01   0.231493e-03   0.262213e-04  -0.373950e-03
   0.171269e+03   0.100821e-01  -0.107033e-01   0.236850e-03   0.203445e-04  -0.364014e-03
   0.173340e+03   0.988342e-02  -0.104944e-01   0.244565e-03   0.108142e-04  -0.355593e-03
   0.175415e+03   0.969789e-02  -0.102961e-01   0.246886e-03   0.432951e-05  -0.347022e-03
   0.177492e+03   0.952467e-02  -0.101078e-01   0.242640e-03   0.255570e-05  -0.337893e-03
   0.179572e+03   0.935810e-02  -0.992568e-02   0.236098e-03   0.314580e-05  -0.328337e-03
   0.181654e+03   0.919245e-02  -0.974610e-02   0.230770e-03   0.464954e-05  -0.318234e-03
   0.183739e+03   0.902284e-02  -0.956703e-02   0.231291e-03   0.590831e-05  -0.306990e-03
   0.185825e+03   0.884443e-02  -0.938959e-02   0.241718e-03   0.101346e-04  -0.293307e-03
   0.187915e+03   0.865526e-02  -0.921446e-02   0.267467e-03   0.141250e-04  -0.277613e-03
   0.190006e+03   0.845930e-02  -0.904177e-02   0.307817e-03   0.133626e-04  -0.261288e-03
   0.192100e+03   0.826351e-02  -0.887360e-02   0.351923e-03   0.138579e-04  -0.244316e-03
   0.194195e+03   0.807380e-02  -0.871126e-02   0.391191e-03   0.199752e-04  -0.226300e-03
   0.196291e+03   0.789470e-02  -0.855268e-02   0.424554e-03   0.258702e-04  -0.207561e-03
   0.198390e+03   0.773059e-02  -0.839628e-02   0.453423e-03   0.235896e-04  -0.188683e-03
