y+ Diss. Diss. Diss..1
1.139069999999999965e+02 -1.514419999999999655e-02 -9.146676449203836740e-03 -1.107859999999999921e-02
1.173349999999999937e+02 -1.452093575396966145e-02 -8.855170000000000749e-03 -1.069847782290433459e-02
1.209140000000000015e+02 -1.391260000000000066e-02 -8.565633591333519925e-03 -1.032129999999999853e-02
1.244939999999999998e+02 -1.334298969610689910e-02 -8.289960000000000731e-03 -9.963170105192291001e-03
1.282270000000000039e+02 -1.278649999999999926e-02 -8.016030797144368253e-03 -9.608580000000000246e-03
1.319610000000000127e+02 -1.226459483791361542e-02 -7.754969999999999919e-03 -9.271608928926068638e-03
1.358510000000000275e+02 -1.175550000000000379e-02 -7.495910158156943864e-03 -8.938609999999997877e-03
1.397400000000000091e+02 -1.127975993085537920e-02 -7.249059999999999011e-03 -8.623505652460297655e-03
1.437879999999999825e+02 -1.081729999999999844e-02 -7.003860192439015017e-03 -8.313730000000000078e-03
1.478360000000000127e+02 -1.038539046598556045e-02 -6.769439999999999832e-03 -8.021393778977984473e-03
1.520430000000000064e+02 -9.965269999999998296e-03 -6.536035345631104401e-03 -7.733099999999998829e-03
1.562489999999999952e+02 -9.570778554453722789e-03 -6.312279999999999974e-03 -7.457503870497732799e-03
1.606150000000000091e+02 -9.184640000000000859e-03 -6.089443940778856666e-03 -7.182599999999997320e-03
1.649819999999999993e+02 -8.818771914449321375e-03 -5.875700000000000194e-03 -6.917475885382791574e-03
1.695070000000000050e+02 -8.458270000000000371e-03 -5.663451468912776565e-03 -6.653090000000000392e-03
1.740329999999999870e+02 -8.114386554324254375e-03 -5.460190000000000182e-03 -6.399623549978189843e-03
1.787170000000000130e+02 -7.775820000000001862e-03 -5.258996126549006674e-03 -6.149810000000002080e-03
1.834009999999999820e+02 -7.455019232263042361e-03 -5.066850000000000347e-03 -5.913404756670299044e-03
1.882419999999999902e+02 -7.141739999999998853e-03 -4.877420300854715639e-03 -5.682259999999999742e-03
1.930829999999999984e+02 -6.846248614356778214e-03 -4.696620000000000308e-03 -5.463041933729625814e-03
1.980790000000000077e+02 -6.558080000000000853e-03 -4.518332888276495665e-03 -5.247199999999998740e-03
2.030749999999999886e+02 -6.284707209357549146e-03 -4.347959999999999672e-03 -5.039803721736684124e-03
2.082230000000000132e+02 -6.015770000000000145e-03 -4.180145242595171944e-03 -4.833470000000000301e-03
2.133709999999999809e+02 -5.757645889724101289e-03 -4.019449999999999933e-03 -4.633657990150688230e-03
2.186659999999999968e+02 -5.504300000000000165e-03 -3.860908260048063079e-03 -4.435340000000000289e-03
2.239620000000000175e+02 -5.264348143118231099e-03 -3.709060000000000135e-03 -4.244990584565316860e-03
2.294010000000000105e+02 -5.030719999999998075e-03 -3.560046920119324353e-03 -4.058320000000000677e-03
2.348390000000000271e+02 -4.808401502320491967e-03 -3.417660000000000316e-03 -3.880823966622402605e-03
2.404149999999999920e+02 -4.590820000000000664e-03 -3.277922888606319557e-03 -3.707600000000000565e-03
2.459909999999999854e+02 -4.382698775754029566e-03 -3.143749999999999843e-03 -3.542261452617496541e-03
2.516980000000000075e+02 -4.179119999999999710e-03 -3.011557170038405007e-03 -3.380000000000000625e-03
2.574060000000000059e+02 -3.985009402456432190e-03 -2.884820000000000179e-03 -3.223821244480666159e-03
2.632359999999999900e+02 -3.797120000000000183e-03 -2.761405365889662948e-03 -3.071019999999998959e-03
2.690670000000000073e+02 -3.620182758677635039e-03 -2.643809999999999910e-03 -2.925473284969789135e-03
2.750140000000000100e+02 -3.450659999999999925e-03 -2.529550882531484291e-03 -2.783920000000000925e-03
2.809599999999999795e+02 -3.291342230765106295e-03 -2.421049999999999678e-03 -2.648515194388602161e-03
2.870129999999999768e+02 -3.137689999999999837e-03 -2.316430586304595116e-03 -2.516410000000000174e-03
2.930659999999999741e+02 -2.991023364669011340e-03 -2.217000000000000220e-03 -2.389903995728233452e-03
2.992160000000000082e+02 -2.849880000000000382e-03 -2.120650053061404194e-03 -2.268130000000000580e-03
3.053659999999999854e+02 -2.717846098700356806e-03 -2.029330000000000196e-03 -2.154250050639516367e-03
3.116030000000000086e+02 -2.593799999999999838e-03 -1.942403711308276701e-03 -2.046849999999999798e-03
3.178389999999999986e+02 -2.480010405363914684e-03 -1.861670000000000165e-03 -1.947460533002828321e-03
3.241510000000000105e+02 -2.375260000000000132e-03 -1.786559070449317017e-03 -1.855220000000000089e-03
3.304630000000000223e+02 -2.280878087097336793e-03 -1.717910000000000010e-03 -1.771637232092776373e-03
3.368389999999999986e+02 -2.195770000000000100e-03 -1.654852567683275230e-03 -1.695960000000000479e-03
3.432139999999999986e+02 -2.120483197458970879e-03 -1.598019999999999909e-03 -1.628891701357103837e-03
3.496419999999999959e+02 -2.053489999999999829e-03 -1.546944062687394738e-03 -1.569409999999999816e-03
3.560690000000000168e+02 -1.994593346932150343e-03 -1.502059999999999940e-03 -1.517575794866019749e-03
3.625360000000000014e+02 -1.943749999999999731e-03 -1.463041816749292108e-03 -1.473049999999999837e-03
3.690019999999999527e+02 -1.901904213019369122e-03 -1.430000000000000281e-03 -1.436222713129963521e-03
