                        y+                        uu+                        vv+                        ww+                      Diss.                    Diss..1                  Diss..1.1
  2.778010000000000090e+01   5.432587499477554260e+00   6.381859999999999200e-01   1.573752404869682930e+00  -1.135458423955832130e-01  -1.978930000000000272e-02  -3.857595692465346643e-02
  2.906859999999999999e+01   5.275199999999999001e+00   6.679229095348598877e-01   1.587040000000000006e+00  -1.075180000000000025e-01  -1.997199329777540541e-02  -3.766959999999998365e-02
  3.035709999999999908e+01   5.126377478956857914e+00   6.959520000000001261e-01   1.598424920662686377e+00  -1.018685755904806534e-01  -2.009889999999999941e-02  -3.678157793368232870e-02
  3.172100000000000009e+01   4.978100000000000414e+00   7.237700856183462150e-01   1.608630000000000004e+00  -9.628409999999999747e-02  -2.017878321877585035e-02  -3.586430000000001561e-02
  3.308480000000000132e+01   4.839130533652295618e+00   7.497180000000001066e-01   1.617145967147924690e+00  -9.108829670901490150e-02  -2.020870000000000652e-02  -3.497249072114795576e-02
  3.452790000000000248e+01   4.701749999999999652e+00   7.751918028954043471e-01   1.624519999999999964e+00  -8.598920000000000174e-02  -2.019241272760422326e-02  -3.405639999999999362e-02
  3.597090000000000032e+01   4.573782909474635616e+00   7.986959999999998505e-01   1.630404031252337571e+00  -8.127435642308568353e-02  -2.013279999999999931e-02  -3.316782711507317710e-02
  3.749699999999999989e+01   4.448030000000001039e+00   8.215006298455996836e-01   1.635189999999999921e+00  -7.667489999999999029e-02  -2.002892245225144224e-02  -3.225609999999999589e-02
  3.902320000000000277e+01   4.331434465992654026e+00   8.423009999999996333e-01   1.638669260653506932e+00  -7.244079150755269869e-02  -1.988880000000000162e-02  -3.137138527711944014e-02
  4.063640000000000185e+01   4.217389999999999084e+00   8.622298432657395928e-01   1.641059999999999963e+00  -6.832850000000000035e-02  -1.970729686168765094e-02  -3.046559999999999893e-02
  4.224960000000000093e+01   4.112009458151943520e+00   8.801790000000001557e-01   1.642243835564384025e+00  -6.455485325615731296e-02  -1.949680000000000163e-02  -2.959045679267841011e-02
  4.395400000000000063e+01   4.009249999999999758e+00   8.971444859599541077e-01   1.642269999999999897e+00  -6.090059999999999918e-02  -1.924844462775341519e-02  -2.869990000000000735e-02
