y+ uu+ vv+ ww+
9.466259999999999764e+01 2.661290000000000155e+00 9.681041893994188907e-01 1.426290000000000280e+00
9.765430000000000632e+01 2.621218327515559832e+00 9.625580000000001357e-01 1.411766142613693598e+00
1.007879999999999967e+02 2.580750000000000099e+00 9.564170413989809827e-01 1.396500000000000075e+00
1.039210000000000065e+02 2.541671930679284763e+00 9.499719999999999276e-01 1.381203855493977173e+00
1.072010000000000076e+02 2.502089999999999481e+00 9.429300099165885962e-01 1.365189999999999904e+00
1.104800000000000040e+02 2.463748054927917153e+00 9.356190000000000895e-01 1.349219124278783877e+00
1.139070000000000107e+02 2.424920000000000186e+00 9.277218868435217480e-01 1.332599999999999785e+00
1.173349999999999937e+02 2.387305374002201219e+00 9.196020000000000305e-01 1.316066828370266562e+00
1.209140000000000015e+02 2.349299999999999500e+00 9.109352295559041135e-01 1.298860000000000348e+00
1.244939999999999998e+02 2.312539794748813105e+00 9.021160000000000290e-01 1.281651289988558817e+00
1.282270000000000039e+02 2.275509999999999700e+00 8.927993329191916683e-01 1.263679999999999914e+00
1.319610000000000127e+02 2.239715339811537476e+00 8.833699999999999886e-01 1.245660292929343216e+00
1.358509999999999991e+02 2.203450000000000131e+00 8.734404362882560724e-01 1.226860000000000062e+00
1.397400000000000091e+02 2.167879186677709846e+00 8.634319999999999773e-01 1.208051486226044746e+00
1.437879999999999825e+02 2.131200000000000649e+00 8.529529965666113878e-01 1.188420000000000032e+00
1.478360000000000127e+02 2.094552141982517046e+00 8.424040000000001527e-01 1.168718633935395879e+00
1.520430000000000064e+02 2.056449999999999889e+00 8.313537445246470536e-01 1.148329999999999851e+00
1.562489999999999952e+02 2.018414951514521771e+00 8.202199999999999491e-01 1.128200167174666202e+00
1.606150000000000091e+02 1.979270000000000085e+00 8.085808346229401700e-01 1.107560000000000100e+00
1.649819999999999993e+02 1.940735548943221200e+00 7.968749999999998890e-01 1.087114284794804098e+00
1.695070000000000050e+02 1.901509999999999811e+00 7.847037915643096939e-01 1.066079999999999917e+00
1.740329999999999870e+02 1.862972045144895228e+00 7.725219999999999310e-01 1.045145818443666608e+00
1.787170000000000130e+02 1.823770000000000557e+00 7.599379607473061293e-01 1.023579999999999934e+00
1.834009999999999820e+02 1.785202634649297515e+00 7.473770000000000691e-01 1.002084700650498039e+00
1.882420000000000186e+02 1.745959999999999956e+00 7.344229150212153723e-01 9.797850000000000170e-01
1.930829999999999984e+02 1.707276672633051495e+00 7.215499999999999137e-01 9.572598135250164342e-01
1.980790000000000077e+02 1.667779999999999818e+00 7.084079599660478843e-01 9.338560000000000194e-01
2.030749999999999886e+02 1.628553044241806136e+00 6.954260000000000996e-01 9.104427465327952218e-01
2.082229999999999848e+02 1.588349999999999929e+00 6.822172758459519315e-01 8.865149999999998309e-01
2.133709999999999809e+02 1.548342719804568723e+00 6.691660000000000386e-01 8.629666932479094221e-01
2.186659999999999968e+02 1.507430000000000048e+00 6.558934358564236788e-01 8.391370000000001328e-01
2.239620000000000175e+02 1.466772992712259027e+00 6.427779999999999605e-01 8.156764955209337975e-01
2.294009999999999820e+02 1.425210000000000088e+00 6.294799891330623565e-01 7.920789999999999775e-01
2.348390000000000271e+02 1.383733872208900983e+00 6.163399999999999990e-01 7.690660765268656496e-01
2.404149999999999920e+02 1.341150000000000064e+00 6.030119440466260583e-01 7.458770000000001232e-01
2.459909999999999854e+02 1.298463955435249950e+00 5.898510000000000142e-01 7.228844094325850289e-01
2.516979999999999791e+02 1.255029999999999868e+00 5.765957055723834879e-01 6.995449999999999724e-01
2.574060000000000059e+02 1.212219806772024011e+00 5.636439999999998118e-01 6.764599444784700211e-01
2.632359999999999900e+02 1.169130000000000003e+00 5.508164341748282844e-01 6.532890000000000086e-01
2.690670000000000073e+02 1.126590891685544049e+00 5.384020000000000472e-01 6.306469972055948059e-01
2.750140000000000100e+02 1.083839999999999915e+00 5.261554550558487087e-01 6.080590000000000162e-01
2.809599999999999795e+02 1.041847602762643321e+00 5.143010000000000081e-01 5.859519249166901256e-01
2.870129999999999768e+02 1.000040000000000040e+00 5.026124752331294632e-01 5.641359999999999708e-01
2.930659999999999741e+02 9.593442635575253341e-01 4.913350000000000772e-01 5.432384039475491866e-01
2.992160000000000082e+02 9.192139999999999755e-01 4.803454978669556841e-01 5.230239999999999334e-01
3.053659999999999854e+02 8.803427164339161504e-01 4.698989999999999556e-01 5.038605484678979618e-01
3.116030000000000086e+02 8.421350000000000779e-01 4.599231473733234044e-01 4.854630000000000889e-01
3.178389999999999986e+02 8.051420844649535002e-01 4.505779999999999230e-01 4.680967595432772299e-01
3.241510000000000105e+02 7.692700000000000093e-01 4.417578719540479759e-01 4.516999999999999904e-01
3.304630000000000223e+02 7.353651054108523155e-01 4.336040000000000449e-01 4.366294030346672961e-01
3.368389999999999986e+02 7.033149999999998014e-01 4.260735550465247212e-01 4.227500000000000702e-01
3.432139999999999986e+02 6.736562536744823415e-01 4.192809999999999593e-01 4.102122841150856458e-01
3.496419999999999959e+02 6.464400000000000146e-01 4.132065200003853800e-01 3.990270000000000206e-01
3.560690000000000168e+02 6.222031987262690578e-01 4.079460000000000308e-01 3.894055814713687225e-01
3.625360000000000014e+02 6.010069999999999579e-01 4.035012812969426821e-01 3.812829999999999275e-01
3.690019999999999527e+02 5.831857775515912889e-01 3.998979999999999202e-01 3.746710717686341230e-01
3.754950000000000045e+02 5.688729999999999620e-01 3.971065545093239724e-01 3.694720000000000226e-01
3.819880000000000564e+02 5.583458702171190113e-01 3.951279999999999792e-01 3.656318391845880256e-01
