  j      y+            u_mean            uu+            ww+           prms+        omgy_rms+
114   0.528081e+03   0.215532e+02   0.916098e+00   0.482579e+00   0.912249e+00   0.251776e-01
115   0.535570e+03   0.215873e+02   0.891127e+00   0.471975e+00   0.895368e+00   0.248424e-01
116   0.543085e+03   0.216196e+02   0.867096e+00   0.462038e+00   0.879108e+00   0.245237e-01
117   0.550627e+03   0.216497e+02   0.843969e+00   0.452820e+00   0.863556e+00   0.242236e-01
118   0.558197e+03   0.216779e+02   0.821804e+00   0.444329e+00   0.848783e+00   0.239422e-01
119   0.565799e+03   0.217039e+02   0.800775e+00   0.436529e+00   0.834874e+00   0.236809e-01
120   0.573433e+03   0.217276e+02   0.781131e+00   0.429403e+00   0.821945e+00   0.234420e-01
121   0.581101e+03   0.217491e+02   0.763084e+00   0.422998e+00   0.810162e+00   0.232277e-01
122   0.588808e+03   0.217681e+02   0.746711e+00   0.417357e+00   0.799687e+00   0.230379e-01
123   0.596554e+03   0.217847e+02   0.732107e+00   0.412494e+00   0.790612e+00   0.228712e-01
124   0.604342e+03   0.217987e+02   0.719456e+00   0.408409e+00   0.782993e+00   0.227283e-01
125   0.612177e+03   0.218100e+02   0.708979e+00   0.405116e+00   0.776864e+00   0.226109e-01
126   0.620060e+03   0.218186e+02   0.700880e+00   0.402632e+00   0.772223e+00   0.225207e-01
127   0.627996e+03   0.218244e+02   0.695348e+00   0.400970e+00   0.769098e+00   0.224598e-01
128   0.635989e+03   0.218274e+02   0.692550e+00   0.400144e+00   0.767519e+00   0.224299e-01
