#                         y+                      nu_t+
  2.947760000000000105e+02   4.774194930265501569e+01
  3.016290000000000191e+02   4.774666636542527698e+01
  3.085109999999999673e+02   4.757862806889260554e+01
  3.154209999999999923e+02   4.760164314517297157e+01
  3.223580000000000041e+02   4.737572553077720272e+01
  3.293209999999999695e+02   4.735510343596035199e+01
  3.363080000000000496e+02   4.709099175054490161e+01
  3.433169999999999504e+02   4.692918494991806000e+01
  3.503489999999999895e+02   4.670130712374390924e+01
  3.574019999999999868e+02   4.656305541672291781e+01
  3.644739999999999895e+02   4.628543755979189456e+01
  3.715659999999999741e+02   4.608760098362272117e+01
  3.786759999999999877e+02   4.592791600319544187e+01
  3.858040000000000305e+02   4.577885368173885183e+01
  3.929490000000000123e+02   4.538118779914109524e+01
  4.001109999999999900e+02   4.520517911102554365e+01
  4.072889999999999873e+02   4.468792113459409876e+01
  4.144830000000000041e+02   4.417696065783692205e+01
  4.216919999999999504e+02   4.362245879857754716e+01
  4.289169999999999732e+02   4.306209221584060742e+01
  4.361569999999999823e+02   4.233645765984670106e+01
  4.434119999999999777e+02   4.180063440542967612e+01
  4.506840000000000259e+02   4.108154585852229701e+01
  4.579710000000000036e+02   4.057313084468644604e+01
  4.652730000000000246e+02   3.976004556414542179e+01
  4.725930000000000177e+02   3.933489394674533202e+01
  4.799290000000000305e+02   3.882315106134520732e+01
  4.872830000000000155e+02   3.826802452243192931e+01
  4.946549999999999727e+02   3.787594084208900114e+01
  5.020459999999999923e+02   3.740124259358339742e+01
  5.094569999999999936e+02   3.711988198067734146e+01
  5.168880000000000337e+02   3.663951135473980258e+01
  5.243419999999999845e+02   3.635100587896999969e+01
  5.318189999999999600e+02   3.600904915776882831e+01
  5.393210000000000264e+02   3.542425917179677697e+01
  5.468490000000000464e+02   3.537111730685533928e+01
  5.544049999999999727e+02   3.472275367675754865e+01
  5.619900000000000091e+02   3.448734299132036796e+01
  5.696069999999999709e+02   3.429165373100403258e+01
  5.772580000000000382e+02   3.376438315013057689e+01
  5.849450000000000500e+02   3.376623589652172797e+01
  5.926699999999999591e+02   3.331173227818953109e+01
  6.004370000000000118e+02   3.321910271792324210e+01
  6.082480000000000473e+02   3.323652107718289983e+01
  6.161059999999999945e+02   3.302870315976193893e+01
  6.240149999999999864e+02   3.300438991043579762e+01
